"","name","lat","long","segment","isCentralOffice"
"56","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,28,TRUE
"57","PNARPAXP COMMONWEALTH TELEPHONE COMPANY",40.8673,-75.2585,29,TRUE
"58","MCNGPAXM VERIZON NORTH INC.-PA (CONTEL)",40.5181,-75.5581,29,TRUE
"59","PNARPAXP COMMONWEALTH TELEPHONE COMPANY",40.8673,-75.2585,30,TRUE
"60","ALTWPACY CHOICE ONE COMMUNICATIONS, INC.",40.5867,-75.6114,30,TRUE
"61","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,31,TRUE
"62","ALTWPACY CHOICE ONE COMMUNICATIONS, INC.",40.5867,-75.6114,31,TRUE
"63","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,32,TRUE
"64","MCNGPAXM VERIZON NORTH INC.-PA (CONTEL)",40.5181,-75.5581,32,TRUE
"65","ALTWPACS CCCPA, INC. DBA CONNECT!",40.6023,-75.4707,33,TRUE
"66","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,33,TRUE
"67","ALTWPACS CCCPA, INC. DBA CONNECT!",40.6023,-75.4707,34,TRUE
"68","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,34,TRUE
"69","ALTWPADT IRONTON TELEPHONE CO. SERVICE ELECTRIC TELEPHONE, INC.",40.6084,-75.4863,35,TRUE
"70","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,35,TRUE
"71","ALTWPADT IRONTON TELEPHONE CO. SERVICE ELECTRIC TELEPHONE, INC.",40.6084,-75.4863,36,TRUE
"72","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,36,TRUE
"73","ALTWPAAL CTSI, INC. - PA VERIZON PENNSYLVANIA, INC.",40.6031,-75.4765,37,TRUE
"74","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,37,TRUE
"75","ALTWPAAL CTSI, INC. - PA VERIZON PENNSYLVANIA, INC.",40.6031,-75.4765,38,TRUE
