S1017,POINT (-75.552688999999987 40.655746000000022),1
S1017,POINT (-75.559616 40.659626),2
S1017,POINT (-75.559770000000015 40.659780000000012),3
S1017,POINT (-75.564888 40.664894000000004),4
S1017,POINT (-75.569046000000014 40.671268),5
S1017,POINT (-75.568969999999979 40.67210399999999),6
S145,POINT (-75.501288999999986 40.651001000000008),1
S145,POINT (-75.501944999999978 40.651558000000023),2
S145,POINT (-75.502485999999976 40.651866999999982),3
S145,POINT (-75.502605000000017 40.65195),4
S145,POINT (-75.503578 40.652645000000007),5
S145,POINT (-75.50458500000002 40.653347),6
S145,POINT (-75.505362999999988 40.653888999999992),7
S145,POINT (-75.505989 40.654433999999981),8
S145,POINT (-75.50668300000001 40.655056),9
S145,POINT (-75.507385 40.656219000000021),10
S145,POINT (-75.507773999999984 40.657309999999995),11
S145,POINT (-75.508163000000025 40.658474000000012),12
S145,POINT (-75.50870500000002 40.659485000000018),13
S145,POINT (-75.508767999999975 40.660410000000013),14
S145,POINT (-75.508934000000011 40.662865000000011),15
U22,POINT (-75.41130099999998 40.650378999999987),1
U22,POINT (-75.411072999999988 40.650471999999979),2
U22,POINT (-75.411072999999988 40.650471999999979),1
U22,POINT (-75.410743000000025 40.650607999999977),2
U22,POINT (-75.407738 40.651836),3
U22,POINT (-75.399651 40.655430000000024),4
U22,POINT (-75.384437999999989 40.662552000000005),5
S145,POINT (-75.499702000000013 40.649722999999994),1
S145,POINT (-75.49977100000001 40.64976999999999),2
S145,POINT (-75.500938000000019 40.650703000000021),3
S145,POINT (-75.501288999999986 40.651001000000008),4
S29,POINT (-75.550078999999982 40.459835),1
S29,POINT (-75.550231 40.460281000000009),2
S29,POINT (-75.550377000000026 40.461059999999975),3
S29,POINT (-75.550560000000019 40.461479),4
S29,POINT (-75.550591 40.462001999999984),5
S29,POINT (-75.550528999999983 40.462620000000015),6
S29,POINT (-75.550377000000026 40.463051000000007),7
S29,POINT (-75.550110000000018 40.463530999999989),8
S29,POINT (-75.549331999999993 40.464310000000012),9
S29,POINT (-75.549178999999981 40.464329000000021),10
S29,POINT (-75.546989 40.466140999999993),11
S29,POINT (-75.545279999999991 40.467529000000013),12
S29,POINT (-75.544647 40.467948999999976),13
S29,POINT (-75.539459000000022 40.470988999999975),14
S29,POINT (-75.537177999999983 40.472560999999985),15
S29,POINT (-75.534447 40.474602000000004),16
S29,POINT (-75.531387 40.476928999999984),17
S29,POINT (-75.530792000000019 40.477322000000015),18
S29,POINT (-75.529739 40.47820999999999),19
S29,POINT (-75.528960999999981 40.478760000000023),20
S29,POINT (-75.52713 40.480518000000018),21
S29,POINT (-75.52652599999999 40.480999),22
S29,POINT (-75.524521 40.482898999999975),23
S29,POINT (-75.524223 40.483261000000027),24
S29,POINT (-75.523857000000021 40.483898000000011),25
S29,POINT (-75.523773 40.485760000000028),26
S29,POINT (-75.523857000000021 40.486580000000004),27
S29,POINT (-75.523888 40.488338),28
S29,POINT (-75.524009999999976 40.489010000000007),29
S29,POINT (-75.524689000000023 40.49031100000002),30
S29,POINT (-75.526489000000026 40.492989000000023),31
S29,POINT (-75.526673000000017 40.493518999999992),32
S29,POINT (-75.526755999999978 40.49356),33
S29,POINT (-75.527107 40.494572000000005),34
S29,POINT (-75.527381999999989 40.495257999999978),35
S29,POINT (-75.527527000000021 40.496078000000011),36
S29,POINT (-75.527649 40.496170000000006),37
S29,POINT (-75.528252000000009 40.498211000000026),38
S329,POINT (-75.564620999999988 40.679629999999975),1
S329,POINT (-75.564182000000017 40.679693999999984),2
S329,POINT (-75.563720999999987 40.679759999999987),3
S329,POINT (-75.562698000000012 40.679859000000022),4
S329,POINT (-75.560592999999983 40.679919999999981),5
S329,POINT (-75.557053 40.67944),6
S329,POINT (-75.556540999999982 40.679390000000012),7
S329,POINT (-75.552642999999989 40.677719000000025),8
S329,POINT (-75.550307999999973 40.676765999999986),9
S329,POINT (-75.548721 40.676979000000017),10
S329,POINT (-75.547240999999985 40.676979000000017),11
S329,POINT (-75.54141199999998 40.677192999999988),12
S329,POINT (-75.539924999999982 40.67804000000001),13
S329,POINT (-75.538123999999982 40.678569999999979),14
S329,POINT (-75.536956999999973 40.678780000000017),15
S329,POINT (-75.535263999999984 40.678885999999977),16
S329,POINT (-75.534447 40.679611000000023),17
S329,POINT (-75.532790999999975 40.680019000000016),18
S329,POINT (-75.530273000000022 40.680309000000022),19
S329,POINT (-75.52963299999999 40.680698000000007),20
S329,POINT (-75.528999 40.681549000000018),21
S329,POINT (-75.528610000000015 40.682049000000006),22
S329,POINT (-75.528373999999985 40.682258999999988),23
S329,POINT (-75.528008 40.68244199999998),24
S329,POINT (-75.527260000000012 40.682652000000019),25
S329,POINT (-75.526871000000028 40.682708999999988),26
S329,POINT (-75.52615400000002 40.682491000000027),27
S329,POINT (-75.524986000000013 40.682384000000013),28
S329,POINT (-75.522338999999988 40.682384000000013),29
S329,POINT (-75.519500999999991 40.682682),30
S33,POINT (-75.293579000000022 40.666584),1
S33,POINT (-75.293114 40.669669999999996),2
S33,POINT (-75.292679000000021 40.671619000000021),3
S33,POINT (-75.292174999999986 40.673428),4
S33,POINT (-75.291884999999979 40.67465199999998),5
S33,POINT (-75.291512000000012 40.675914999999975),6
S33,POINT (-75.291228999999987 40.676575000000014),7
S33,POINT (-75.29001599999998 40.678486000000021),8
S33,POINT (-75.289673 40.679224999999974),9
S33,POINT (-75.289368000000024 40.679977000000008),10
S33,POINT (-75.289138999999977 40.680939000000023),11
S33,POINT (-75.289039 40.681743999999981),12
