Power Plant,Power Capacity (MW),Longitude,Latitude
Limerick Nuclear,2242,-75.58785173,40.22664398
Berwick Nuclear,2520,-76.14851594,41.09302493
Three Mile Nuclear,803,-76.72303786,40.15543418
Bethlehem Gas,1134,-75.31352625,40.61830614
Gilbert Gas,444,-75.15613397,40.56952573
Martins Creek Gas,2310,-75.10616378,40.80176636
Ontelaunee Gas,540,-75.93359957,40.42073337
Northampton Coal,112,-75.47908675,40.69195545
