Road1,Road2,long1,lat1,long2,lat2
S1017,N CEDAR CREST BLVD,-75.552688999999987,40.655746000000022,,
S1017,S1017,-75.552688999999987,40.655746000000022,,
S145,S145,-75.501288999999986,40.651001000000008,,
S145,S145,-75.508934000000011,40.662865000000011,,
S145,S1012,-75.501288999999986,40.651001000000008,,
U22,U22,-75.411072999999988,40.650471999999979,,
U22,U22,-75.41130099999998,40.650378999999987,,
U22,U22,-75.384437999999989,40.662552000000005,,
U22,S512,-75.384437999999989,40.662552000000005,,
S145,S145,-75.499702000000013,40.649722999999994,,
S145,S1012,-75.501288999999986,40.651001000000008,,
S29,S29,-75.528252000000009,40.498211000000026,,
S29,S100,-75.528252000000009,40.498211000000026,,
S329,S145,-75.519500999999991,40.682682,,
S329,S329,-75.519500999999991,40.682682,,
S329,S145,-75.519500999999991,40.682682,,
S329,S329,-75.564620999999988,40.679629999999975,,
S33,WILLIAM PENN HWY,-75.293579000000022,40.666584,,
S33,S33,-75.293579000000022,40.666584,,
S33,EASTON AV,-75.293579000000022,40.666584,,
S33,S33,-75.289078000000018,40.683097999999973,,
S33,U22,-75.289078000000018,40.683097999999973,,
S33,U22,-75.289078000000018,40.683097999999973,,
WILLIAM PENN HWY,S33,-75.293579000000022,40.666584,,
WILLIAM PENN HWY,EASTON AV,-75.293579000000022,40.666584,,
WILLIAM PENN HWY,S248,-75.248610999999983,40.681830999999988,,
S987,S987,-75.42506800000001,40.663902000000007,,
S987,S987,-75.42530099999999,40.663670000000025,,
S987,S987,-75.415009,40.695629,,
S100,S100,-75.618469,40.57266199999998,,
S100,S100,-75.606415000000027,40.548002999999994,,
S100,S3012,-75.618469,40.57266199999998,,
S100,U222,-75.606415000000027,40.548002999999994,,
S100,U222,-75.606415000000027,40.548002999999994,,
S100,S100,-75.633934000000011,40.600871999999981,,
S100,S100,-75.626183000000026,40.583275000000015,,
S100,S3012,-75.618469,40.57266199999998,,
S100,S100,-75.621940999999993,40.576411000000007,,
S512,S512,-75.178513000000009,40.879512999999974,,
S512,S611,-75.118263000000013,40.897221,,
S512,S512,-75.118263000000013,40.897221,,
S378,U22,-75.415436,40.64868899999999,,
S378,U22,-75.415436,40.64868899999999,,
S378,S378,-75.386237999999992,40.624911999999995,,
S378,UNION BLVD,-75.386237999999992,40.624911999999995,,
S378,UNION BLVD,-75.386237999999992,40.624911999999995,,
S987,U22,-75.432509999999979,40.642979000000025,,
S987,U22,-75.432509999999979,40.642979000000025,,
S987,UNION BLVD,-75.443573000000015,40.624123,,
S987,S987,-75.432509999999979,40.642979000000025,,
S987,UNION BLVD,-75.443573000000015,40.624123,,
S378,S309,-75.393714999999986,40.528933999999992,,
S378,S309,-75.393714999999986,40.528933999999992,,
S378,S378,-75.391212,40.572772999999984,,
S309,S309,-75.423003999999992,40.547236999999996,,
S309,S309,-75.393714999999986,40.528933999999992,,
EMAUS AV,S29,-75.508141000000023,40.528275000000008,,
EMAUS AV,S29,-75.508141000000023,40.528275000000008,,
EMAUS AV,EMAUS AV,-75.489822,40.547527,,
S100,S100,-75.543518,40.50946399999998,,
S100,U222,-75.606415000000027,40.548002999999994,,
S100,U222,-75.606415000000027,40.548002999999994,,
S100,S100,-75.541924,40.508647999999994,,
S309,S309,-75.387115,40.502564000000007,,
S309,S309,-75.390732000000014,40.526196000000027,,
S248,S248,-75.608214999999973,40.787402999999983,,
S412,S412,-75.315125000000023,40.548985000000016,,
S512,S512,-75.205101000000013,40.866900999999984,,
S512,S512,-75.265815999999973,40.864496999999972,,
S512,S191,-75.205101000000013,40.866900999999984,,
S512,S191,-75.205101000000013,40.866900999999984,,
S873,S309,-75.612555999999984,40.672501000000011,,
S873,S309,-75.612555999999984,40.672501000000011,,
S873,S329,-75.608803000000023,40.69099,,
S873,S873,-75.608803000000023,40.69099,,
S309,S309,-75.612555999999984,40.672501000000011,,
S309,S100,-75.694969000000015,40.68110999999999,,
S309,S309,-75.694969000000015,40.68110999999999,,
S1017,S329,-75.571563000000026,40.678634999999986,,
S1017,S329,-75.571563000000026,40.678634999999986,,
S33,EASTON AV,-75.293579000000022,40.666584,,
S33,I78,-75.27642800000001,40.632995999999991,,
S33,I78,-75.27642800000001,40.632995999999991,,
EASTON AV,LINDEN ST,-75.370445000000018,40.630493,,
EASTON AV,CENTER ST,-75.370445000000018,40.630493,,
LINDEN ST,U22,-75.343039999999974,40.678405999999995,,
LINDEN ST,U22,-75.343039999999974,40.678405999999995,,
LINDEN ST,S191,-75.343039999999974,40.678405999999995,,
LINDEN ST,CENTER ST,-75.370445000000018,40.630493,,
N CEDAR CREST BLVD,N CEDAR CREST BLVD,-75.534668000000011,40.615826000000027,,
N CEDAR CREST BLVD,S1017,-75.552688999999987,40.655746000000022,,
I476,I476,-75.602341000000024,40.686619000000007,,
I476,S329,-75.602341000000024,40.686619000000007,,
I476,S329,-75.602341000000024,40.686619000000007,,
I476,I476,-75.577713000000017,40.615112000000011,,
S378,S378,-75.385276999999974,40.620387999999991,,
S378,BROAD ST,-75.385276999999974,40.620387999999991,,
S378,S378,-75.384785000000022,40.614792000000023,,
S378,CENTER ST,-75.385276999999974,40.620387999999991,,
S309,S309,-75.428840999999977,40.551826000000005,,
I78,S145,-75.433557000000008,40.555461999999977,,
I78,I78,-75.433557000000008,40.555461999999977,,
I78,S309,-75.433557000000008,40.555461999999977,,
I78,I78,-75.444672000000025,40.559062999999981,,
S145,I78,-75.433557000000008,40.555461999999977,,
S145,S309,-75.433557000000008,40.555461999999977,,
S145,S145,-75.441101,40.560092999999995,,
I78,S309,-75.433557000000008,40.555461999999977,,
I78,I78,-75.424416000000008,40.557137000000012,,
S378,S378,-75.385849000000007,40.608513000000016,,
S378,EMAUS AV,-75.385849000000007,40.608513000000016,,
S378,S378,-75.390442000000007,40.574862999999993,,
I476,I476,-75.570404,40.598029999999994,,
I476,I476,-75.574783000000025,40.605629000000022,,
U22,U22,-75.56644399999999,40.597370000000012,,
U22,S309,-75.560325999999975,40.600118000000009,,
U22,U22,-75.560325999999975,40.600118000000009,,
U22,S309,-75.560325999999975,40.600118000000009,,
I476,I476,-75.564156000000025,40.587841000000026,,
I476,I476,-75.559264999999982,40.579624000000024,,
U22,I476,-75.569252,40.596111000000008,,
U22,U22,-75.569252,40.596111000000008,,
U22,I476,-75.569252,40.596111000000008,,
U22,U22,-75.576294000000019,40.594402,,
I476,U22,-75.569252,40.596111000000008,,
I476,I476,-75.569252,40.596111000000008,,
U22,I476,-75.569252,40.596111000000008,,
S309,S309,-75.57790399999999,40.615142999999989,,
S329,S329,-75.602561999999978,40.686783999999989,,
S329,S873,-75.608803000000023,40.69099,,
S873,MAIN ST,-75.606612999999982,40.752579000000026,,
S873,S873,-75.606612999999982,40.752579000000026,,
S873,S873,-75.624465999999984,40.717480000000023,,
Unknown,S248,-75.204299999999989,40.691397999999992,,
I78,I78,-75.17733800000002,40.674647999999991,,
S94,S512,-75.092109999999991,40.921538999999996,,
I476,I476,-75.653091000000018,40.779456999999979,,
S512,S191,-75.205101000000013,40.866900999999984,,
S512,S191,-75.205101000000013,40.866900999999984,,
S29,S100,-75.528252000000009,40.498211000000026,,
S29,S29,-75.525153999999986,40.512405,,
S611,S512,-75.118263000000013,40.897221,,
S611,S1002,-75.186859000000027,40.78384,,
S611,S611,-75.186859000000027,40.78384,,
S248,W MOUNTAIN VIEW DR,-75.573959,40.769118999999989,,
S248,S145,-75.603989000000013,40.78194000000002,,
S248,S248,-75.603989000000013,40.78194000000002,,
S248,S873,-75.603989000000013,40.78194000000002,,
S248,S248,-75.573959,40.769118999999989,,
UNION BLVD,UNION BLVD,-75.38505600000002,40.624925000000019,,
UNION BLVD,UNION BLVD,-75.385520999999983,40.624919999999975,,
UNION BLVD,CENTER ST,-75.375388999999984,40.625038000000018,,
UNION BLVD,CENTER ST,-75.375388999999984,40.625038000000018,,
6TH ST,6TH ST,-75.470694999999978,40.60413,,
6TH ST,UNION BLVD,-75.474754000000019,40.612366000000009,,
6TH ST,UNION BLVD,-75.474754000000019,40.612366000000009,,
6TH ST,6TH ST,-75.474754000000019,40.612366000000009,,
6TH ST,S222,-75.470694999999978,40.60413,,
6TH ST,HAMILTON ST,-75.470047000000022,40.602717999999982,,
6TH ST,HAMILTON ST,-75.470047000000022,40.602717999999982,,
6TH ST,WALNUT ST,-75.470047000000022,40.602717999999982,,
6TH ST,S222,-75.470694999999978,40.60413,,
S222,WALNUT ST,-75.480698000000018,40.599742999999989,,
S222,S222,-75.480698000000018,40.599742999999989,,
S222,S222,-75.481262000000015,40.601135,,
U22,S248,-75.252159,40.686615000000018,,
U22,U22,-75.251449999999977,40.687561000000017,,
U22,U22,-75.252159,40.686615000000018,,
U22,S248,-75.252159,40.686615000000018,,
U22,S248,-75.251449999999977,40.687561000000017,,
S248,S248,-75.261687999999992,40.694262999999978,,
S248,PARK AVE,-75.261687999999992,40.694262999999978,,
S248,U22,-75.252159,40.686615000000018,,
S248,S248,-75.252159,40.686615000000018,,
WALNUT ST,WALNUT ST,-75.480216999999982,40.598545,,
WALNUT ST,S222,-75.480698000000018,40.599742999999989,,
WALNUT ST,S145,-75.471878,40.601330000000019,,
WALNUT ST,S145,-75.471878,40.601330000000019,,
WALNUT ST,WALNUT ST,-75.471878,40.601330000000019,,
S222,S222,-75.485512000000028,40.598460999999986,,
S222,S222,-75.515938,40.585842000000014,,
S222,S222,-75.515938,40.585842000000014,,
S191,S191,-75.196082999999987,40.936230000000023,,
S329,S329,-75.418479999999988,40.703731000000005,,
S329,S987,-75.418479999999988,40.703731000000005,,
S329,S248,-75.396079999999984,40.726729999999975,,
S329,S248,-75.396079999999984,40.726729999999975,,
I78,I78,-75.219826000000012,40.670016999999973,,
I78,KNOX AV,-75.214310000000012,40.670925000000011,,
I78,I78,-75.214310000000012,40.670925000000011,,
I78,I78,-75.27642800000001,40.632995999999991,,
S611,S611,-75.208831999999973,40.687153000000023,,
S611,KNOX AV,-75.208831999999973,40.687153000000023,,
S611,S611,-75.182274,40.676888000000019,,
U22,U22,-75.585846,40.591433999999992,,
UNION BLVD,S145,-75.47676100000001,40.611958000000016,,
UNION BLVD,TILGHMAN ST,-75.47676100000001,40.611958000000016,,
UNION BLVD,UNION BLVD,-75.474754000000019,40.612366000000009,,
