Road,Order,long,lat
﻿S1017,1,-75.552688999999987,40.655746000000022
S1017,2,-75.559616,40.659626
S1017,3,-75.559770000000015,40.659780000000012
S1017,4,-75.564888,40.664894000000004
S1017,5,-75.569046000000014,40.671268
S1017,6,-75.568969999999979,40.67210399999999
S145,1,-75.501288999999986,40.651001000000008
S145,2,-75.501944999999978,40.651558000000023
S145,3,-75.502485999999976,40.651866999999982
S145,4,-75.502605000000017,40.65195
S145,5,-75.503578,40.652645000000007
S145,6,-75.50458500000002,40.653347
S145,7,-75.505362999999988,40.653888999999992
S145,8,-75.505989,40.654433999999981
S145,9,-75.50668300000001,40.655056
S145,10,-75.507385,40.656219000000021
S145,11,-75.507773999999984,40.657309999999995
S145,12,-75.508163000000025,40.658474000000012
S145,13,-75.50870500000002,40.659485000000018
S145,14,-75.508767999999975,40.660410000000013
S145,15,-75.508934000000011,40.662865000000011
U22,1,-75.41130099999998,40.650378999999987
U22,2,-75.411072999999988,40.650471999999979
U22,1,-75.411072999999988,40.650471999999979
U22,2,-75.410743000000025,40.650607999999977
U22,3,-75.407738,40.651836
U22,4,-75.399651,40.655430000000024
U22,5,-75.384437999999989,40.662552000000005
S145,1,-75.499702000000013,40.649722999999994
S145,2,-75.49977100000001,40.64976999999999
S145,3,-75.500938000000019,40.650703000000021
S145,4,-75.501288999999986,40.651001000000008
S29,1,-75.550078999999982,40.459835
S29,2,-75.550231,40.460281000000009
S29,3,-75.550377000000026,40.461059999999975
S29,4,-75.550560000000019,40.461479
S29,5,-75.550591,40.462001999999984
S29,6,-75.550528999999983,40.462620000000015
S29,7,-75.550377000000026,40.463051000000007
S29,8,-75.550110000000018,40.463530999999989
S29,9,-75.549331999999993,40.464310000000012
S29,10,-75.549178999999981,40.464329000000021
S29,11,-75.546989,40.466140999999993
S29,12,-75.545279999999991,40.467529000000013
S29,13,-75.544647,40.467948999999976
S29,14,-75.539459000000022,40.470988999999975
S29,15,-75.537177999999983,40.472560999999985
S29,16,-75.534447,40.474602000000004
S29,17,-75.531387,40.476928999999984
S29,18,-75.530792000000019,40.477322000000015
