Latitude ,Longitude ,ID,Company,Address
40.525833,-75.545694,1276406,New Cingular Wireless Pcs LLC (AT&T),"3400 Rear Brookside Rd, Macungie, PA"
40.559528,-75.544694,1208514,Crown Atlantic Company LLC. ,"Hidden Valley Rd, Lower Macungie, PA"
40.638556,-75.539056,1232192,Jeras Corp,"1802 N Ceder Crest Blvd, Allentown, PA"
40.759444,-75.538333,1272999,Sba 2012 Tc Assets LLC,"763 Industrial Ct, Cherryville, PA"
40.619389,-75.527639,1246537,Allentown SMSA LP (Verizon) ,"2735 Walbert Ave, Allentown, PA"
40.682972,-75.523139,1274669,Spectrasite Communications LLC. Through American Towers LLC.,"4099 Kuhn Ln (308388), Whitehall, PA"
40.667222,-75.530667,1025760,New Cingular Wireless Pcs LLC (AT&T),"4350 Commerce Dr, Whitehall, PA"
40.663667,-75.519972,1225350,Tower Assets Newco II LLC,"3590 South Church St, Whitehall, PA"
40.686806,-75.519167,1276001,T-Mobile Usa Tower LLC,"Springmill Rd (11e0921d), Whitehall, PA"
40.941417,-75.518139,1254682,New Cingular Wireless Pcs LLC (AT&T),"1400 Windy Hill Rd, Kunkletown, PA"
40.562667,-75.516861,1237827,Stc Five LLC (SPRINT),"1275 South Cedar Crest Blvd, Ny54xc004, Allentown, PA"
40.661083,-75.515333,1031111,Capstar Radio Operating Co,"Tower 1 McArthur And Church St, Whitehall, PA"
40.660556,-75.514444,1031110,Capstar Radio Operating Co,"Tower 2 McArthur And Church St, Whitehall, PA"
40.5665,-75.514167,1247887,Allentown SMSA LP (Verizon) ,"1251 South Cedar Crest Blvd, Allentown, PA"
40.660278,-75.513889,1031111,Capstar Radio Operating Co,"Tower 1 McArthur And Church St, Whitehall, PA"
40.660278,-75.513889,1031107,Capstar Radio Operating Co,"Tower 5 McArthur And Church St, Whitehall, PA"
40.660278,-75.513889,1031110,Capstar Radio Operating Co,"Tower 2 McArthur And Church St, Whitehall, PA"
40.660278,-75.513889,1031109,Capstar Radio Operating Co,"Tower 3 McArthur And Church St, Whitehall, PA"
40.660278,-75.513889,1031108,Capstar Radio Operating Co,"Tower 4 McArthur And Church St, Whitehall, PA"
40.660278,-75.513611,1031109,Capstar Radio Operating Co,"Tower 3 McArthur And Church St, Whitehall, PA"
40.659444,-75.5125,1031108,Capstar Radio Operating Co,"Tower 4 McArthur And Church St, Whitehall, PA"
40.525611,-75.512361,1063978,New Cingular Wireless Pcs LLC (AT&T),"1458 Chestnut St, Emmaus, PA"
40.575028,-75.51225,1242824,Commonwealth Of Pennsylvania,"(Hope United Church of Christ) 1031 Flexer Ave (Lehigh County), Allentown, PA"
40.658889,-75.511389,1031107,Capstar Radio Operating Co,"Tower 5 McArthur And Church St, Whitehall, PA"
40.495278,-75.509778,1231753,Spectrasite Communications LLC. Through American Towers LLC.,"5541 German Rd, Zion Hill, PA"
40.672472,-75.499361,1243424,Sba Towers II LLC,"8th and Maple St, Coplay, PA"
40.518889,-75.493611,1025077,Commonwealth Of Pennsylvania State Police,"Fogelsville Remote, Emmaus, PA"
40.553194,-75.492806,1201936,New Cingular Wireless Pcs LLC (AT&T),"3300 Lehigh St, Allentown, PA"
40.792778,-75.4925,1208927,Spectrasite Communications LLC. Through American Towers LLC.,"1222 Red Maple Dr, Danielsville, PA"
40.536194,-75.490167,1205334,Borough Of Emmaus,"100 N 6th St, Emmaus, PA"
40.649917,-75.490056,1228595,Spectrasite Communications LLC. Through American Towers LLC.,"2655 Range Rd, Whitehall, PA"
40.519528,-75.488833,1200414,Pennsylvania Turnpike Commission,"1 Mile S, Emmaus, PA"
40.5475,-75.487833,1232035,Spectrasite Communications LLC. Through American Towers LLC.,"East Main St, Emmaus, PA"
40.690194,-75.487278,1223232,New Cingular Wireless Pcs LLC (AT&T),"Pp&l Substation, East 20th St, Northampton, PA"
40.637222,-75.484444,1026590,Capstar Radio Operating Co,"Tower 1 1183 Mickley Rd, Whitehall, PA"
40.636944,-75.483889,1026589,Capstar Radio Operating Co,"Tower 2 1183 Mickley Rd, Whitehall, PA"
40.636944,-75.483889,1026590,Capstar Radio Operating Co,"Tower 1 1183 Mickley Rd, Whitehall, PA"
40.636944,-75.483889,1026588,Capstar Radio Operating Co,"Tower 3 1183 Mickley Rd, Whitehall, PA"
40.636944,-75.483889,1026589,Capstar Radio Operating Co,"Tower 2 1183 Mickley Rd, Whitehall, PA"
40.636667,-75.483611,1026588,Capstar Radio Operating Co,"Tower 3 1183 Mickley Rd, Whitehall, PA"
40.664472,-75.48225,1255957,Sba Monarch Towers II LLC,"1460 Main St, North Catasauqua, PA"
40.561361,-75.480139,1249493,Sba Monarch Towers II LLC,"2814 Mitchell Ave (11e6531d), Allentown, PA"
40.600472,-75.4795,1038296,Crown Atlantic Company LLC. ,"1041/1043-1045 Hamilton Ave, Allentown, PA"
40.592778,-75.478056,1016361,Lehigh Valley Broadcasting Association,"1125 Colorado St (tower 2), Allentown, PA"
40.5925,-75.478056,1016360,Lehigh Valley Broadcasting Association,"1125 Colorado St (tower 1), Allentown, PA"
40.655556,-75.473611,1056134,T-Mobile Northeast LLC,"534 Third St Site #903e, Catasauque, PA"
40.576167,-75.472556,1225404,New Cingular Wireless Pcs LLC (AT&T),"2100 Mack, Allentown, PA"
40.88175,-75.472333,1249714,Atlas Tower Network,"Bollinger Rd, Kunkletown, PA"
40.917083,-75.467333,1255968,Sba 2012 Tc II LLC,"Near Intersection of Burger Hollow Rd & Polk Township Rd, Gilbert, PA"
40.61325,-75.465306,1063979,New Cingular Wireless Pcs LLC (AT&T),"1068 Graham St, Allentown, PA"
40.660472,-75.464639,1251346,New Cingular Wireless Pcs LLC (AT&T),"2133 Walnut St, Catasauqua, PA"
40.648389,-75.4635,1257204,T-Mobile Northeast LLC,"96 Faith Dr (11e6894c), Catasauqua, PA"
40.584417,-75.462694,1278063,Stc Five LLC (SPRINT),"1700 South Fourth St, Allentown, PA"
40.659139,-75.462667,1254385,Allentown SMSA LP (Verizon) ,"850 Pine St, Catasauqua, PA"
40.743861,-75.456528,1208895,Spectrasite Communications LLC. Through American Towers LLC.,"3210 Pheasant Dr (308401), Northampton, PA"
40.564167,-75.454444,1026029,J&D Brothers Inc,"Beacon Rd, Allentown, PA"
40.698861,-75.452611,1218111,New Cingular Wireless Pcs LLC (AT&T),"4945 Nor-bath Blvd., Northampton, PA"
40.865,-75.449583,1225641,Spectrasite Communications LLC. Through American Towers LLC.,"Burger Rd and Kunkletown Rd, Eldred, PA"
40.6145,-75.447861,1265087,American Towers LLC,"316-320 North Fenwick St (095089), Allentown, PA"
40.625417,-75.447361,1224228,Crown Atlantic Company LLC. ,"1050-1068 N Graham St, Allentown, PA"
40.464389,-75.44625,1228312,New Cingular Wireless Pcs LLC (AT&T),"2761 Cassele Rd, Lower Milford, PA"
40.606361,-75.443194,1288617,Allentown SMSA LP (Verizon) ,"South Ellsworth St, Allentown, PA"
40.564444,-75.44,1031215,Marantha Broadcasting Co Inc,"300 E Rock Rd, Allentown, PA"
40.538083,-75.439472,1200639,New Cingular Wireless Pcs LLC (AT&T),"5082 Limeport Pike, Center Valley, PA"
40.565,-75.437778,1026721,Service Electric Cable Tv Inc,"East Rock Rd At City Park, Allentown, PA"
40.632694,-75.437611,1251575,New Cingular Wireless Pcs LLC (AT&T),"1635 Airport Rd, Castasauqua, PA"
40.699556,-75.437194,1243416,Sba 2012 Tc Assets LLC,"Route 329 - East Allen Township, Northampton, PA"
40.594722,-75.436778,1245236,T-Mobile Northeast LLC,"778 Summit Ave (11e6688b), Allentown, PA"
40.632694,-75.43625,1055880,American Towers LLC,"1425 N Maxwell St (006683), Allentown, PA"
40.594528,-75.436,1254486,T-Mobile Northeast LLC,"113 Tweed Ave, Alllentown, PA"
40.569444,-75.435833,1027478,Begovich Nicholas J:begovich Martha A,"537 Mountain Top Ln, Salisbury Township, PA"
40.565972,-75.43575,1026287,American Towers LLC,"360 East Rock Rd, Allentown, PA"
40.595278,-75.435556,1261091,Sba Monarch Towers II LLC,"1135 Tweed Ave, Allentown, PA"
40.567194,-75.434306,1026545,American Towers LLC,"720 E Rock Rd, Allentown, PA"
40.700139,-75.434028,1217004,Rcn Telcom Services (lehigh) LLC,"Route 329, 0.9 mi west of Intersection of Highway 329 & 987, Northampton, PA"
40.56925,-75.433778,1206208,Pp&l Inc,"South Mountain 4.8 mi SSE, Allentown, PA"
40.699944,-75.432889,1216985,Rcn Telcom Services (lehigh) LLC,"Route 329, 0.9 mi west of Intersection of Highway 329 & 987, Northampton, PA"
40.700111,-75.432139,1216981,Rcn Telcom Services (lehigh) LLC,"Route 329, 0.9 mi west of Intersection of Highway 329 & 987, Northampton, PA"
40.572222,-75.430556,1016094,Tuway Communications,"933 East Rock Rd, Allentown, PA"
40.571667,-75.429722,1025308,Industrial Communications Co,"979 E Rock Rd, Salisbury Township, PA"
40.430333,-75.426528,1054116,Pinnacle Towers LLC,"2100 Krammes Rd, Milford Township, PA"
40.580528,-75.425361,1254129,Allentown SMSA LP (Verizon) ,"Franko Park-honeysuckle Rd & Black River Rd, Allentown, PA"
40.621639,-75.423806,1251667,T-Mobile Northeast LLC,"691 N Trump St, Allentown, PA"
40.652861,-75.421556,1234747,Tuway Communications,"2115 City Line Rd, Bethlehem, PA"
40.636472,-75.421056,1266532,T-Mobile Usa Tower LLC,"2246 Pinehurst Rd, Bethlehem, PA"
40.598167,-75.421028,1204088,Rcn Telcom Services (lehigh) LLC,"Lehigh Mountain- 1 km NE of Intersection of East Rock Rd & South 4th St, Fountain Hill, PA"
40.73425,-75.420528,1280655,New Cingular Wireless Pcs LLC (AT&T),"5884 West Main Blvd, Bath, PA"
40.658333,-75.419722,1026152,Begovich Nicholas J:begovich Martha A,"2490 Schoenersville Rd, Hanover Township, PA"
40.598611,-75.419722,1026599,Citadel Broadcasting Co,"2.5 mi west of Easton, End of Savercool Ave, Bethlehem, PA"
40.598611,-75.419722,1026723,Service Electric Cable Tv Inc,"1 mi E of Salisbury Township, PA"
40.598167,-75.418556,1054486,Pinnacle Towers LLC,"1828 Savercool Ave, Allentown, PA"
40.650556,-75.4125,1207439,Network Management Ltd,"Rte 22 Near Schoenersville Rd, Stafore Estates, PA"
