ID,BridgeClass,Census Tract,Name,Owner,BridgeType,Width,NumSpans,MaxSpanLength,SkewAngle,SeatLength,SeatWidth,YearBuilt,YearRemodeled,PierType,FoundationType,ScourIndex,Traffic,TrafficIndex,Condition,Cost,Latitude,Longitude
PA014920,HWB3 ,42077001402,I-78 & PA 309,State Highway Agency,,34.6,1,70,0,,,1958,0,H048500000,,9,67347,,,"12,341.53",40.56333,-75.51333
PA014922,HWB3 ,42077001402, I-78(LR 1045),State Highway Agency,,38.3,1,19,30,,,1989,0,H045400000,,N,67347,,,"1,284.97",40.56333,-75.49667
PA014924,HWB3 ,42077001402,I- 78(LR 1045),State Highway Agency,,53.4,1,34,14,,,1989,0,H047200000,,N,67347,,,"3,300.28",40.56333,-75.48333
PA014926,HWB22,42077001402,SR 78(LR 1045),State Highway Agency,,40.5,3,20,14,,,1989,0,75100000,,N,67347,,,"3,575.75",40.56333,-75.48333
PA014927,HWB3 ,42077001501,SR 78(LR 1045),State Highway Agency,,42.7,1,34,18,,,1989,0,H044100000,,N,67347,,,"2,714.39",40.56333,-75.47667
PA014929,HWB15,42077006906,SR2059(W.ROCK RD.),State Highway Agency,,14.5,2,49,0,,,1988,0,H085500000,,N,320,,,"2,304.37",40.56,-75.45
PA014931,HWB22,42077006906,SR 78(LR 1045),State Highway Agency,,38.3,3,22,5,,,1989,0,H072300000,,N,67347,,,"3,787.29",40.55667,-75.44
PA014934,HWB3 ,42077006303,SR 100(LR 486),State Highway Agency,,22.9,1,6,25,,,1960,0,N000000000,,7,14459,,,283.06,40.51433,-75.55294
PA014935,HWB3 ,42077006303,SR 100(LR 486),State Highway Agency,,19.1,1,10,14,,,1969,0,N000000000,,3,12812,,,370.99,40.51697,-75.55825
PA014936,HWB3 ,42077006302,PA100 (LR486),State Highway Agency,,12.1,1,24,0,,,1957,0,N000000000,,3,10196,,,534.15,40.51753,-75.60244
PA014937,HWB3 ,42077006302,PA100 (LR486),State Highway Agency,,12.1,1,25,0,,,1957,0,N000000000,,3,13134,,,534.15,40.53419,-75.60244
PA014938,HWB3 ,42077006202,SR 100(LR 672),State Highway Agency,,13.9,1,6,45,,,1932,0,N000000000,,3,13286,,,171.81,40.59728,-75.63139
PA014940,HWB28,42077005401,SR 100(LR 672),State Highway Agency,,13.9,2,11,15,,,1932,0,N000000000,,6,10380,,,564.53,40.65744,-75.68478
PA014941,HWB17,42077005301,SR 100(LR 672),State Highway Agency,,13.9,2,10,45,,,1964,0,N000000000,,4,9155,,,515.44,40.67225,-75.68933
PA014942,HWB3 ,42077005302,SR 143 (LR 285),State Highway Agency,,7.9,1,8,15,,,1926,0,N000000000,,3,1580,,,111.6,40.66069,-75.84633
PA014943,HWB3 ,42077005302,SR 143 (LR 285),State Highway Agency,,7.8,1,11,15,,,1926,0,N000000000,,3,1524,,,151.51,40.66367,-75.83703
PA014944,HWB3 ,42077005302,SR 143 (LR 285),State Highway Agency,,7.9,1,6,0,,,1926,0,N000000000,,6,2162,,,97.65,40.67706,-75.80133
PA014945,HWB3 ,42077005302,SR 143 (LR 285),State Highway Agency,,7.8,1,12,30,,,1926,0,N000000000,,3,2137,,,165.28,40.68381,-75.763
PA014946,HWB3 ,42077005302,SR 143(LR 285),State Highway Agency,,7.7,1,8,15,,,1921,0,N000000000,,5,2137,,,122.37,40.68147,-75.76097
PA014947,HWB3 ,42077006906,SR 145SB(LR 153),State Highway Agency,,12.6,1,24,51,,,1958,0,H044700000,,N,9137,,,556.23,40.55667,-75.435
PA014949,HWB15,42077001401,PA 145 SUSQUEHANNA,City Highway Agency,,16.6,4,25,0,,,1989,0,67000000,,6,33086,,,"2,520.86",40.59167,-75.46333
PA014950,HWB28,42077001401,SOUTH LEHIGH ST.,County Highway Agency,,18.9,2,16,15,,,1940,0,N000000000,,3,33713,,,"1,168.08",40.59678,-75.46761
PA014951,HWB3 ,42077005702,PA 145(LR 555),State Highway Agency,,20.7,1,23,4,,,1953,0,H043600000,,N,30930,,,877.25,40.62667,-75.48333
PA014953,HWB3 ,42077005504,SR 145(LR 175),State Highway Agency,,9.9,1,6,15,,,1926,0,N000000000,,9,14743,,,122.37,40.72092,-75.52769
PA014954,HWB3 ,42077006202,SR 222(LR 157),State Highway Agency,,16.2,1,11,15,,,1935,0,N000000000,,3,12172,,,314.67,40.54422,-75.66958
PA014955,HWB5 ,42077006202,US 222(LR 157),State Highway Agency,,13.7,2,10,0,,,1942,0,N000000000,,3,15798,,,532.21,40.54758,-75.60703
PA014956,HWB5 ,42077002202,US 222(LR 157),State Highway Agency,,19.2,2,12,45,,,1925,0,N000000000,,3,20503,,,881.49,40.59439,-75.50042
PA014957,HWB3 ,42077006903,PA309 (LR153),State Highway Agency,,23.2,1,8,30,,,1970,0,N000000000,,5,34391,,,327.73,40.51828,-75.38586
PA014958,HWB5 ,42077006906,SR 309(LR 153),State Highway Agency,,23.2,2,12,0,,,1929,0,N000000000,,3,28109,,,983.2,40.54769,-75.42347
PA014959,HWB15,42077006906,SR 309(LR 153),State Highway Agency,,24.5,2,40,47,,,1988,0,H055800000,,N,28952,,,"4,975.14",40.55,-75.43333
PA014961,HWB3 ,42077006102,SR 309(LR781),State Highway Agency,,20.6,1,14,26,,,1958,0,H043400000,,N,44474,,,545.63,40.58833,-75.55333
PA014963,HWB15,42077006203,SR 309(LR 781),State Highway Agency,,20.6,3,24,13,,,1958,0,H043400000,,N,46673,,,"2,000.65",40.59,-75.58667
PA014965,HWB17,42077006002,SR 309(LR 163),State Highway Agency,,14.5,2,25,0,,,1956,0,N000000000,,6,21699,,,"1,305.81",40.62217,-75.581
PA014966,HWB3 ,42077005505,PA309 (LR 226),State Highway Agency,,13.3,1,10,30,,,1962,0,N000000000,,5,5731,,,258.34,40.67944,-75.629
PA014967,HWB3 ,42077005301,PA309 (LR 226),State Highway Agency,,13.3,1,13,30,,,1962,0,N000000000,,3,5731,,,328.79,40.67667,-75.64011
PA014968,HWB3 ,42077005301,PA 309(LR 226),State Highway Agency,,13.3,1,13,30,,,1962,0,N000000000,,3,5395,,,328.79,40.68208,-75.69317
PA014969,HWB5 ,42077006903,SR 378(LR 297),State Highway Agency,,12.6,2,14,45,,,1935,0,N000000000,,7,15509,,,667.47,40.55078,-75.39439
